Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Z_mm,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Yaw,Current_VX,Current_VY,Current_Angular_Vel,Target_X,Target_Y,Target_Yaw,Target_VX,Target_VY,Target_Angular_Vel,Error_X,Error_Y,Error_Yaw,Error_VX,Error_VY,Error_Angular_Vel,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,Total_MPC_Loop_Time,Timing_Violation
0,0.0000,0.0000,0.0600,0.060,APPROACHING,0,1000.00,1000.00,180.00,1.00000,1.00000,3.14159,0.00000,0.00000,0.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.50000,0.50000,-3.14159,0.00000,0.00000,0.00000,0.0311,OPTIMAL,Gurobi,0.050,0.0069,False,False,122662.750,370,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.0000,4,0,0.0000,False
1,0.0650,0.0650,0.0600,0.060,APPROACHING,0,999.99,1000.02,179.98,0.99999,1.00002,3.14120,-0.00008,0.00039,-0.01070,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49999,0.50002,-3.14120,0.00008,-0.00039,0.01070,0.0070,OPTIMAL,Gurobi,0.050,0.0013,False,False,122446.421,0,0.004,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.0650,4,0,0.0000,False
2,0.1200,0.1200,0.0550,0.060,APPROACHING,0,999.99,1000.05,179.92,0.99999,1.00005,3.14014,-0.00024,0.00089,-0.02942,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49999,0.50005,-3.14014,0.00024,-0.00089,0.02942,0.0064,OPTIMAL,Gurobi,0.050,0.0012,False,False,121856.085,0,0.005,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.1200,4,0,0.0000,False
3,0.1800,0.1800,0.0600,0.060,APPROACHING,0,999.96,1000.11,179.79,0.99996,1.00011,3.13785,-0.00060,0.00111,-0.04616,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49996,0.50011,-3.13785,0.00060,-0.00111,0.04616,0.0062,OPTIMAL,Gurobi,0.050,0.0012,False,False,121383.437,0,0.007,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.1800,4,0,0.0000,False
4,0.2400,0.2400,0.0600,0.060,APPROACHING,0,999.93,1000.17,179.61,0.99993,1.00017,3.13484,-0.00034,0.00106,-0.05611,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49993,0.50017,-3.13484,0.00034,-0.00106,0.05611,0.0190,OPTIMAL,Gurobi,0.050,0.0046,False,False,121217.589,0,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.2400,4,0,0.0000,False
5,0.3000,0.3000,0.0600,0.060,APPROACHING,0,999.92,1000.25,179.40,0.99992,1.00025,3.13111,-0.00020,0.00131,-0.06890,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49992,0.50025,-3.13111,0.00020,-0.00131,0.06890,0.0076,OPTIMAL,Gurobi,0.050,0.0014,False,False,120837.779,10,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.3000,4,0,0.0000,False
6,0.3600,0.3600,0.0600,0.060,APPROACHING,0,999.87,1000.32,179.13,0.99987,1.00032,3.12643,-0.00113,0.00089,-0.08589,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49987,0.50032,-3.12643,0.00113,-0.00089,0.08589,0.0090,OPTIMAL,Gurobi,0.050,0.0023,False,False,120459.248,90,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.3600,4,0,0.0000,False
7,0.4200,0.4200,0.0600,0.060,APPROACHING,0,999.81,1000.38,178.82,0.99981,1.00038,3.12096,-0.00081,0.00135,-0.08995,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49981,0.50038,-3.12096,0.00081,-0.00135,0.08995,0.0092,OPTIMAL,Gurobi,0.050,0.0036,False,False,119011.340,266,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.4200,4,0,0.0000,False
8,0.4800,0.4800,0.0600,0.060,APPROACHING,0,999.76,1000.47,178.48,0.99976,1.00047,3.11502,-0.00092,0.00120,-0.10631,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49976,0.50047,-3.11502,0.00092,-0.00120,0.10631,0.0061,OPTIMAL,Gurobi,0.050,0.0011,False,False,118323.331,0,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.4800,4,0,0.0000,False
9,0.5400,0.5400,0.0600,0.060,APPROACHING,0,999.71,1000.53,178.11,0.99971,1.00053,3.10867,-0.00078,0.00104,-0.10604,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49971,0.50053,-3.10867,0.00078,-0.00104,0.10604,0.0073,OPTIMAL,Gurobi,0.050,0.0013,False,False,117946.831,0,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.5400,4,0,0.0000,False
