Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0000,APPROACHING (t=0.0s),,1.11803,28.60,"[2, 4, 8]",0.0117,0.0600
0.0650,APPROACHING (t=0.1s),,1.11805,28.61,"[2, 4, 8]",0.0113,0.1200
0.1200,APPROACHING (t=0.1s),,1.11806,28.60,"[2, 4, 8]",0.0112,0.1800
0.1800,APPROACHING (t=0.2s),,1.11803,28.56,"[2, 4, 8]",0.0114,0.2400
0.2400,APPROACHING (t=0.2s),,1.11793,28.46,"[1, 2, 4, 8]",0.0115,0.3000
0.3000,APPROACHING (t=0.3s),,1.11778,28.30,"[1, 2, 4, 8]",0.0120,0.3600
0.3600,APPROACHING (t=0.4s),,1.11755,28.08,"[1, 2, 4, 8]",0.0124,0.4200
0.4200,APPROACHING (t=0.4s),,1.11720,27.83,"[1, 2, 4, 8]",0.0119,0.4800
0.4800,APPROACHING (t=0.5s),,1.11672,27.56,"[1, 2, 4, 8]",0.0123,0.5400
0.5400,APPROACHING (t=0.5s),,1.11608,27.28,"[1, 2, 4, 8]",0.0120,0.6000
0.6000,APPROACHING (t=0.6s),,1.11529,26.98,"[1, 2, 4, 8]",0.0123,0.6600
0.6600,APPROACHING (t=0.7s),,1.11438,26.66,"[1, 2, 4, 8]",0.0118,0.7200
0.7200,APPROACHING (t=0.7s),,1.11337,26.35,"[1, 2, 4, 8]",0.0128,0.7800
0.7800,APPROACHING (t=0.8s),,1.11224,26.03,"[1, 2, 4, 8]",0.0126,0.8400
0.8400,APPROACHING (t=0.8s),,1.11100,25.69,"[1, 2, 4, 8]",0.0124,0.9000
0.9000,APPROACHING (t=0.9s),,1.10960,25.34,"[1, 2, 4, 8]",0.0133,0.9600
0.9600,APPROACHING (t=1.0s),,1.10810,25.00,"[1, 2, 4, 8]",0.0126,1.0200
1.0250,APPROACHING (t=1.0s),,1.10634,24.62,"[1, 2, 4, 8]",0.0127,1.0800
1.0850,APPROACHING (t=1.1s),,1.10460,24.27,"[1, 2]",0.0130,1.1400
1.1450,APPROACHING (t=1.1s),,1.10273,23.90,"[1, 2, 8]",0.0135,1.2000
1.2050,APPROACHING (t=1.2s),,1.10075,23.57,"[1, 2, 8]",0.0135,1.2600
1.2650,APPROACHING (t=1.3s),,1.09863,23.24,"[1, 2, 8]",0.0131,1.3200
1.3250,APPROACHING (t=1.3s),,1.09640,22.90,"[1, 2, 8]",0.0131,1.3800
